AK-01,[0.00476323]
AZ-01,[0.03773616]
AZ-02,[0.00280933]
AZ-04,[0.0031892]
AR-01,[0.00180121]
AR-02,[0.01971318]
AR-03,[0.04746193]
AR-04,[0.00271383]
CA-07,[0.01060397]
CA-10,[0.00817366]
CA-22,[0.00340132]
CA-24,[0.03977926]
CA-25,[0.84807659]
CA-39,[0.00755194]
CA-45,[0.04863839]
CA-48,[0.0177133]
CA-49,[0.00573642]
CA-50,[0.07160448]
CO-06,[0.00605032]
DE-01,[0.02179986]
FL-06,[0.00779021]
FL-07,[0.13717038]
FL-12,[0.00295083]
FL-15,[0.0069347]
FL-16,[0.00936245]
FL-18,[0.03976662]
FL-19,[0.01299699]
FL-25,[0.00496846]
FL-26,[0.00791626]
FL-27,[0.02517959]
GA-06,[0.01706034]
GA-07,[0.01827777]
ID-01,[0.00323818]
ID-02,[0.01178015]
IL-06,[0.00883255]
IL-12,[0.00286438]
IL-13,[0.03567957]
IL-14,[0.0371437]
IN-03,[0.00511043]
IA-01,[0.00447117]
IA-02,[0.00633353]
IA-03,[0.03467598]
IA-04,[0.00565901]
KS-01,[0.00249334]
KS-02,[0.00348021]
KS-03,[0.00420254]
KS-04,[0.00710094]
KY-06,[0.00557094]
LA-03,[0.00110833]
ME-02,[0.00683046]
MI-06,[0.00424936]
MI-07,[0.00529473]
MI-08,[0.01586362]
MN-01,[0.00290767]
MN-02,[0.01237718]
MN-03,[0.01965511]
MN-08,[0.0040031]
MS-01,[0.00276753]
MS-02,[0.00198567]
MS-03,[0.00181929]
MS-04,[0.00827673]
MO-01,[0.004959]
MT-01,[0.00268205]
NE-02,[0.08384483]
NV-04,[0.01258969]
NH-01,[0.00476943]
NJ-03,[0.01347974]
NJ-05,[0.00285404]
NJ-07,[0.00473224]
NJ-11,[0.04314811]
NM-01,[0.00415061]
NM-02,[0.0034879]
NM-03,[0.00197983]
NY-01,[0.08561235]
NY-19,[0.03028992]
NY-22,[0.00233542]
NY-24,[0.00831324]
NY-25,[0.00362497]
NC-02,[0.01630456]
NC-07,[0.00833765]
NC-09,[0.01182853]
NC-13,[0.0066275]
ND-01,[0.00422635]
OH-01,[1.]
OH-12,[0.03696695]
OK-01,[0.00671716]
OK-02,[0.00390249]
OK-03,[0.0044114]
OK-04,[0.00508536]
OK-05,[0.03700573]
PA-01,[0.01421417]
PA-07,[0.05401971]
PA-10,[0.0034926]
PA-11,[0.00292527]
PA-16,[0.02259858]
PA-17,[0.00160806]
SC-01,[0.01436799]
SD-01,[0.02645316]
TX-06,[0.00829266]
TX-07,[0.01381555]
TX-10,[0.01841125]
TX-21,[0.00251562]
TX-23,[0.01638188]
TX-31,[0.009422]
TX-32,[0.00873427]
UT-01,[0.00436237]
UT-02,[0.00360888]
UT-03,[0.00213385]
UT-04,[0.00168549]
VA-02,[0.01541747]
VA-07,[0.00772068]
VA-09,[0.00389592]
VA-10,[0.00332976]
WA-05,[0.00589107]
WV-01,[0.00105193]
WV-02,[0.00249766]
WV-03,[0.00177406]
WI-01,[0.00594313]
