Fund only,Final percentage
0.3224,36.49%
0.3636,40.95%
0.3233,36.07%
0.1459,18.66%
0.2971,34.44%
0.2259,26.29%
0.7358,100.00%
0.4114,46.72%
0.5431,56.85%
0.4867,54.45%
0.6318,68.29%
0.2712,31.77%
0.3212,37.33%
0.3755,42.71%
0.7979,100.00%
0.3358,38.36%
0.5602,60.52%
0.3187,33.75%
0.4137,45.56%
0.2735,33.75%
0.3652,37.53%
0.3864,43.90%
0.7656,80.15%
0.5778,62.51%
0.3639,41.64%
0.7655,80.48%
0.7508,100.00%
0.5367,57.26%
0.3651,0.00%
0.582,62.69%
0.469,52.20%
0.7269,77.43%
0.8925,93.18%
0.92,100.00%
0.8043,84.36%
0.7362,77.50%
0.5843,63.16%
0.7971,83.92%
0.7323,77.87%
0.7409,78.44%
0.7595,100.00%
0.4682,51.22%
0.3412,43.62%
0.3045,35.33%
0.5768,60.62%
0.4231,49.42%
0.5888,64.46%
0.6673,100.00%
0.7784,81.72%
0.8073,85.80%
0.7139,75.55%
0.599,64.30%
0.6758,71.60%
0.6658,71.36%
0.8355,100.00%
0.7062,74.64%
0.5806,62.93%
0.863,90.14%
0.6826,72.29%
0.4587,49.51%
0.7613,100.00%
0.6372,68.12%
0.3858,43.50%
0.7807,82.66%
0.9105,100.00%
0.4969,53.28%
0.6994,73.97%
0.6343,67.87%
0.4903,52.94%
0.5585,58.17%
0.3451,42.99%
0.7353,78.78%
0.5743,62.02%
0.654,69.42%
0.7282,77.41%
0.5757,62.63%
0.4066,46.05%
0.32,36.92%
0.3535,40.60%
0.4725,53.48%
0.5821,63.36%
0.6516,69.76%
0.6151,66.01%
0.6635,71.03%
0.595,64.14%
0.527,57.58%
0.6114,65.50%
0.2556,30.05%
0.3381,38.63%
0.3709,42.20%
0.2619,31.02%
0.6567,69.97%
0.4553,49.08%
0.5253,55.21%
0.3503,40.19%
0.5914,63.97%
0.6145,100.00%
0.3256,37.25%
0.3401,38.52%
0.5683,61.70%
0.6113,100.00%
0.4556,49.67%
0.4003,45.59%
0.395,44.70%
0.445,48.26%
0.3288,39.89%
0.827,100.00%
0.6287,100.00%
0.5956,64.38%
0.626,67.34%
0.8925,93.89%
0.378,45.06%
0.4672,50.40%
0.5263,52.67%
0.3917,43.28%
0.6043,64.64%
0.2762,31.73%
0.7671,80.74%
0.8622,100.00%
0.3829,44.28%
0.3727,44.30%
0.3121,0.00%
0.1792,22.18%
0.3176,35.59%
0.3081,35.50%
0.3833,43.25%
0.7369,77.52%
0.183,22.55%
0.6659,71.56%
0.7802,83.18%
0.3471,40.81%
0.3343,36.29%
0.7686,81.88%
0.8116,85.09%
0.6297,67.51%
0.8443,89.16%
0.7186,76.64%
0.4098,49.13%
0.8788,92.70%
0.6092,64.33%
0.695,75.27%
0.594,63.89%
0.6018,65.29%
0.4044,47.83%
0.4205,47.70%
0.3988,45.34%
0.2535,29.94%
0.3513,40.34%
0.5752,62.77%
0.2893,33.53%
0.628,67.29%
0.3768,42.74%
0.2624,32.96%
0.3572,39.89%
0.3602,40.70%
0.3292,37.09%
0.6242,67.38%
0.3364,38.18%
0.3595,40.73%
0.4623,54.29%
0.5374,60.12%
0.4315,48.15%
0.3732,43.43%
0.2736,33.08%
0.4143,49.62%
0.4327,51.06%
0.3268,36.75%
0.2585,30.20%
0.2922,33.52%
0.6742,71.63%
0.2971,33.88%
0.1883,23.89%
0.3904,48.08%
0.2163,26.08%
0.79,100.00%
0.1973,29.80%
0.3576,40.58%
0.3232,36.63%
0.2863,33.74%
0.6042,65.86%
0.4272,49.42%
0.3073,36.50%
0.6528,71.00%
0.6453,70.11%
0.7908,84.66%
0.6843,73.07%
0.5381,59.53%
0.7771,82.49%
0.6638,71.73%
0.6448,100.00%
0.6226,67.51%
0.6208,67.01%
0.6623,100.00%
0.7261,76.82%
