district_name,rep_incumbent,dem_incumbent,obama_2012_margin,dem_2014_margin,hillary_2016_margin,dem_2016_margin,elasticity,rep_running,dem_running,dinc14,rinc14,dinc16,rinc16
AL-01,1,0,-0.14262,-0.15299,-0.1617,N/A,0.9,TRUE,TRUE,0,1,0,0
AL-02,1,0,-0.15307,-0.14457,-0.17401,-0.05213,0.97,TRUE,TRUE,0,1,0,1
AL-03,1,0,-0.1483,-0.13282,-0.18015,-0.176,0.79,TRUE,TRUE,0,1,0,1
AL-04,1,0,-0.27673,N/A,-0.33318,N/A,0.86,TRUE,TRUE,0,0,0,0
AL-05,1,0,-0.1664,-0.21749,-0.18505,-0.17333,1,TRUE,TRUE,0,1,0,1
AL-06,1,0,-0.27015,-0.2305,-0.24174,-0.25596,0.78,TRUE,TRUE,0,0,0,1
AL-07,0,1,0.208,N/A,0.19826,N/A,0.85,FALSE,TRUE,0,0,0,0
AK-01,1,0,-0.0927,-0.0255,-0.09516,-0.08847,1.16,TRUE,TRUE,0,1,0,1
AZ-01,0,1,-0.03236,0.0556,-0.01692,0.03313,1.05,TRUE,TRUE,1,0,0,0
AZ-02,0,0,-0.02727,0.0295,0.01489,-0.07566,0.94,TRUE,TRUE,1,0,0,1
AZ-03,0,1,0.10498,0.0855,0.14644,N/A,1.08,TRUE,TRUE,1,0,0,0
AZ-04,1,0,-0.20396,-0.20119,-0.22222,-0.22066,1.12,TRUE,TRUE,0,1,0,1
AZ-05,1,0,-0.16801,-0.1665,-0.1232,-0.14666,1.1,TRUE,TRUE,0,1,0,0
AZ-06,1,0,-0.12493,-0.1195,-0.06383,-0.12666,1.09,TRUE,TRUE,0,1,0,1
AZ-07,0,1,0.2105,0.36469,0.2495,0.24734,1.13,FALSE,TRUE,0,0,1,0
AZ-08,1,0,-0.1454,N/A,-0.12203,-0.11566,1.01,TRUE,TRUE,0,0,0,0
AZ-09,0,0,0.00339,0.09587,0.07645,0.10354,0.95,TRUE,TRUE,1,0,1,0
