,S000,S001,S003,S006,S007,S008,S009,S010,S011,S012,S013,S014,S017,S018,S019,S020,S021,S022,S026,S027,S029,S030,S031,S032,S033,S034,S035,S036,S040,S041,S043,S044,S045,S046,S047,S048,S049,S050,S052,S053,S055,S056,MRAM
0,172880,61903,340535,97482,50836,70305,47096,49868,315587,255751,40515,19179,75535,3498,31539,443046,220859,119396,241635,54309,111634,122018,41522,84628,41064,34278,78875,705774,18508,61784,103298,102573,79305,41665,33897,44665,20885,8648,97949,612748,5871,11279,0.1880029577049321
1,152373,67156,375841,127402,61341,91299,33324,44388,357754,287765,51683,17818,70477,3348,16324,553510,194535,68998,268713,89820,65410,110269,40528,111085,59146,24026,63076,689420,22133,64654,103314,89718,73182,36616,32228,45510,20714,7798,78668,619052,10572,14659,0.19533284038251128
2,179300,94259,447734,171990,77264,108636,30987,34129,423006,350742,47227,24864,70746,3901,30432,527275,238560,83125,166837,30846,188548,108332,33311,53291,28078,48509,141584,710836,4403,50266,88901,87474,93555,50171,45229,73659,40801,14556,23240,551229,1881,4218,0.22
3,196299,98810,407703,126349,72677,95824,40835,51212,386897,300734,54635,30968,109867,10282,34525,593634,287567,90452,231814,58876,132196,127361,53199,103107,52105,48249,103869,748560,22153,58260,117739,100859,90326,47004,47016,67566,30802,14671,114529,656017,8855,13400,0.23
4,172240,67801,349660,113155,57016,80258,33001,41440,324870,230842,77893,15585,78347,8966,37339,511940,263149,41917,139979,47263,167466,80757,34136,60233,40685,45527,109247,601062,5008,42638,75700,73138,80349,45788,40266,67638,32493,14804,9120,574608,1010,5849,0.23494698377645865
5,190965,81736,375631,127879,62012,85788,33864,53861,363404,300985,42513,19725,95741,3653,30882,516181,293236,71451,167799,37795,182830,108645,34147,50221,25842,46413,140535,685078,6282,52743,78126,81320,92613,50560,48205,75311,39711,15318,39473,508318,5665,3184,0.24
6,166024,80982,364236,122795,52106,87539,35166,53735,351341,274245,61170,15372,53541,4775,19613,605221,153051,58378,224332,61188,106982,114423,47358,95546,56340,36597,83377,670142,24420,56220,113933,100589,76737,37985,39588,55951,30959,11410,111735,579026,6446,17439,0.2496425016883285
7,219077,77575,349141,79798,70076,82158,44827,39028,315887,246824,48732,19527,69482,4874,49518,391876,313617,91318,151481,36560,164128,165691,52489,66553,39873,84016,129907,694014,24950,42622,76237,77851,84731,51237,57507,121571,65950,20069,145119,556857,13371,10930,0.25
8,175243,93910,403856,133905,61864,83898,41251,68420,389338,299370,56026,33211,100883,6460,31881,562023,265651,31501,190293,59365,130522,115354,42198,70035,36834,41567,91369,644700,19356,50988,89968,80028,76482,46280,42777,59435,35223,17161,112079,543329,2740,11971,0.2579734395699965
9,197754,73869,294427,73573,57365,57371,26682,46377,261368,191293,56500,13314,94682,6129,57862,344207,322777,90027,196086,50871,149392,100166,43975,76632,50820,36554,110552,730994,6039,56866,94058,94056,94806,51303,44662,67311,33255,12815,20232,443586,6904,6305,0.27
